Rank,Symbol,Volatility
1,GILLETTE,0.008684
2,HDFCBANK,0.008767
3,JSWDULUX,0.009431
4,CRISIL,0.009907
5,WIPRO,0.010459
6,SCHAEFFLER,0.01061
7,SKFINDIA,0.01108
8,BAJAJHLDNG,0.011766
9,NTPC,0.011802
10,BLUEDART,0.011982
11,INDUSINDBK,0.012621
12,COLPAL,0.012631
13,TCS,0.012636
14,ASIANPAINT,0.012839
15,OIL,0.012842
16,BHARATFIN,0.013118
17,NHPC,0.013348
18,DMART,0.013375
19,ZEEL,0.013396
20,HCLTECH,0.013413
